date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2017-12-06,51.00856343396296,51.774863533766485,50.79226457373924,51.682167053222656,2170500,0.0,0.0,0.0,SOXX,SOXX,0.003238937148772658
2017-12-07,52.06223764766743,52.34651185641324,51.84903287514425,52.18583297729492,2917500,0.0,0.0,0.0,SOXX,SOXX,0.00974544901636154
2017-12-08,52.782173656077426,52.80689483620501,51.87064776761962,51.916996002197266,1965900,0.0,0.0,0.0,SOXX,SOXX,-0.005151531742621063
2017-12-11,52.000433668627885,52.36504550458699,51.85520422334769,52.229087829589844,5248200,0.0,0.0,0.0,SOXX,SOXX,0.006011361431223161
2017-12-12,52.11783562814647,52.11783562814647,51.64816859170533,51.719234466552734,1307700,0.0,0.0,0.0,SOXX,SOXX,-0.009761866121434704
2017-12-13,51.89846711533946,52.16729188406043,51.6790811813175,51.70998001098633,980100,0.0,0.0,0.0,SOXX,SOXX,-0.00017893643751420996
2017-12-14,51.74396283397315,52.00042874535843,51.53075810752434,51.65744400024414,889200,0.0,0.0,0.0,SOXX,SOXX,-0.0010159742999519272
2017-12-15,51.92627014609749,52.60296434917008,51.64199599105759,52.46700668334961,3382500,0.0,0.0,0.0,SOXX,SOXX,0.015671752615201928
2017-12-18,53.10971775291175,53.61955906005338,52.83780592524733,53.59174728393555,3488700,0.0,0.0,0.0,SOXX,SOXX,0.021437102508515604
2017-12-19,53.58461311684651,53.7332011551302,53.25957434755089,53.53508377075195,2278500,0.105667,0.0,0.0,SOXX,SOXX,-0.0010573178904464964
2017-12-20,54.098494909592524,54.16350197221264,53.46389844412831,53.925140380859375,1342200,0.0,0.0,0.0,SOXX,SOXX,0.007285999808606336
2017-12-21,54.10158541762767,54.10158541762767,53.27815680745478,53.35554885864258,1750500,0.0,0.0,0.0,SOXX,SOXX,-0.01056263401808355
2017-12-22,53.16982317267173,53.352462922292055,52.96551321941592,53.32460021972656,877800,0.0,0.0,0.0,SOXX,SOXX,-0.0005800453669403405
2017-12-26,52.65285335034236,52.84168557743591,52.34948470439505,52.79215621948242,680100,0.0,0.0,0.0,SOXX,SOXX,-0.009984960000640974
2017-12-27,52.79524795031328,53.23172695910811,52.72714818417746,52.96240997314453,794100,0.0,0.0,0.0,SOXX,SOXX,0.0032249820021421627
2017-12-28,53.12957019742583,53.24410661028563,53.01813003351717,53.11099624633789,789000,0.0,0.0,0.0,SOXX,SOXX,0.002805504380724022
2017-12-29,53.19767372257692,53.19767372257692,52.563077304502926,52.5661735534668,760200,0.0,0.0,0.0,SOXX,SOXX,-0.01025819004305839
2018-01-02,52.85096891476194,54.01491055685276,52.785961856158586,53.99324035644531,2860200,0.0,0.0,0.0,SOXX,SOXX,0.027148006151275217
2018-01-03,54.28733015557953,54.952878522086635,54.163504979235796,54.937400817871094,1326900,0.0,0.0,0.0,SOXX,SOXX,0.017486641942449532
2018-01-04,55.342918335619224,55.43268830160794,54.80428436921082,55.24695587158203,1335000,0.0,0.0,0.0,SOXX,SOXX,0.005634686918246867
2018-01-05,55.49460649557838,55.79178265533323,55.17266388453432,55.56270980834961,1170600,0.0,0.0,0.0,SOXX,SOXX,0.005715318279282622
2018-01-08,55.59985632510201,56.17254200736421,55.42650532983963,55.99918746948242,1622700,0.0,0.0,0.0,SOXX,SOXX,0.0078555862850882
2018-01-09,56.147761931493335,56.147761931493335,55.386247734568514,55.44816207885742,1464600,0.0,0.0,0.0,SOXX,SOXX,-0.009839881889809332
2018-01-10,54.819763837948884,55.04574396995169,54.34304420880873,54.78261947631836,2030400,0.0,0.0,0.0,SOXX,SOXX,-0.01200296957710767
2018-01-11,54.95906397505376,55.13860744650817,54.73308739690547,55.110748291015625,1047300,0.0,0.0,0.0,SOXX,SOXX,0.005989651787992933
2018-01-12,55.169578270240805,55.525572606294894,54.96527183516259,55.40793991088867,1101900,0.0,0.0,0.0,SOXX,SOXX,0.005392625378695781
2018-01-16,55.8784597867775,56.243739281584936,55.26553347706837,55.590572357177734,1462500,0.0,0.0,0.0,SOXX,SOXX,0.0032961421518791223
2018-01-17,56.11062346872853,57.28075765572623,56.051808905775424,57.203369140625,1136700,0.0,0.0,0.0,SOXX,SOXX,0.029012055732846376
2018-01-18,57.18478311179244,57.74198738808523,57.11667981583824,57.460289001464844,3163800,0.0,0.0,0.0,SOXX,SOXX,0.004491341413968897
2018-01-19,57.72032174594798,57.81009524568551,57.1785951266605,57.51911163330078,1188600,0.0,0.0,0.0,SOXX,SOXX,0.0010237092931160152
2018-01-22,57.6274617931581,57.96178583863865,57.351955851851606,57.94630813598633,1247700,0.0,0.0,0.0,SOXX,SOXX,0.007427035824354
2018-01-23,58.22180470873958,58.41682585634909,58.00820961241225,58.41063690185547,1467000,0.0,0.0,0.0,SOXX,SOXX,0.008013086265642233
2018-01-24,57.80700827456203,58.005125712905965,56.66783300408441,57.07335662841797,3006000,0.0,0.0,0.0,SOXX,SOXX,-0.022894464850374163
2018-01-25,57.69557366383633,57.84106550740657,56.08277130126953,56.08277130126953,2254800,0.0,0.0,0.0,SOXX,SOXX,-0.017356353045743345
2018-01-26,56.841190337055046,57.88440318902173,56.81332763536316,57.87511444091797,1667700,0.0,0.0,0.0,SOXX,SOXX,0.03195889036973942
2018-01-29,57.66461273217678,58.197054233731244,57.1074047795034,57.79153060913086,1626000,0.0,0.0,0.0,SOXX,SOXX,-0.0014442102204814677
2018-01-30,56.958812679658266,57.29004047013826,56.568770328679136,56.643062591552734,1948500,0.0,0.0,0.0,SOXX,SOXX,-0.019872600802801177
2018-01-31,57.308611637274765,57.51292154983437,56.78855519456861,57.104305267333984,1163700,0.0,0.0,0.0,SOXX,SOXX,0.008142968523916494
2018-02-01,56.64926203814805,57.66151948512465,56.56258476864786,56.82261657714844,1255500,0.0,0.0,0.0,SOXX,SOXX,-0.00493288008437931
2018-02-02,56.355167266735165,56.398504118757806,55.26551804285867,55.29338073730469,3241800,0.0,0.0,0.0,SOXX,SOXX,-0.026912450217203454
2018-02-05,54.47305936789874,55.69581564133421,52.53522186583269,52.69000244140625,3915600,0.0,0.0,0.0,SOXX,SOXX,-0.04708300091591289
2018-02-06,51.882037955317685,54.66187364868285,51.761309075164405,54.596866607666016,4045500,0.0,0.0,0.0,SOXX,SOXX,0.03619024630678824
2018-02-07,54.24088238199558,54.72689069702798,53.417457350132665,53.42674255371094,3262200,0.0,0.0,0.0,SOXX,SOXX,-0.021432073425817766
2018-02-08,53.677491143080914,53.82607921411416,51.13910893929871,51.18244934082031,4162200,0.0,0.0,0.0,SOXX,SOXX,-0.04200692585055876
2018-02-09,52.34639104300836,53.027417045481386,50.5138012895398,52.655948638916016,5947800,0.0,0.0,0.0,SOXX,SOXX,0.02878915169306917
2018-02-12,53.35555142045748,54.01800700494771,52.860254313978395,53.66820526123047,2956200,0.0,0.0,0.0,SOXX,SOXX,0.019223974659651866
2018-02-13,53.33079057254022,53.71774025984488,53.15434332895042,53.60629653930664,1481700,0.0,0.0,0.0,SOXX,SOXX,-0.0011535455978541886
2018-02-14,53.188389057315284,54.94668296900536,53.08313784719066,54.863101959228516,1199100,0.0,0.0,0.0,SOXX,SOXX,0.023445108150687677
2018-02-15,55.38005926147371,55.52555461563726,54.228502679207,55.516265869140625,1732500,0.0,0.0,0.0,SOXX,SOXX,0.011905340503668649
2018-02-16,55.24076867610559,56.01156825403558,55.24076867610559,55.31815719604492,929700,0.0,0.0,0.0,SOXX,SOXX,-0.003568479795861501
2018-02-20,55.14480331201442,56.80403859939148,55.08908145500757,56.29636001586914,2507400,0.0,0.0,0.0,SOXX,SOXX,0.017683214145357562
2018-02-21,56.605922630572266,56.649259492064886,55.61223563928861,55.649383544921875,1435500,0.0,0.0,0.0,SOXX,SOXX,-0.011492332199895205
2018-02-22,55.97132652908922,56.104436906312834,55.34292254885197,55.52556228637695,1460700,0.0,0.0,0.0,SOXX,SOXX,-0.0022250248009481055
2018-02-23,56.11681160041588,56.71426010131836,55.937268133780215,56.71426010131836,1424700,0.0,0.0,0.0,SOXX,SOXX,0.021408118459217196
2018-02-26,57.05168717707746,57.949408159865655,57.04549467856553,57.9370231628418,1090500,0.0,0.0,0.0,SOXX,SOXX,0.021560063718348843
2018-02-27,57.961781849457,58.729488601603634,57.74509048461914,57.74509048461914,1369200,0.0,0.0,0.0,SOXX,SOXX,-0.003312781150028976
2018-02-28,58.15063064282627,58.2651670842806,57.17551745167265,57.231239318847656,1266600,0.0,0.0,0.0,SOXX,SOXX,-0.008898612184326748
2018-03-01,57.4324395484949,57.4695839085998,55.67104938691554,56.32731246948242,2850300,0.0,0.0,0.0,SOXX,SOXX,-0.01579429102223806
2018-03-02,55.68962718613879,57.389103113063534,55.559613060240856,57.28385543823242,1392600,0.0,0.0,0.0,SOXX,SOXX,0.01698186770881782
2018-03-05,56.97738942622688,58.07632406181986,56.720457428634916,57.79772186279297,1251000,0.0,0.0,0.0,SOXX,SOXX,0.008970527919766713
2018-03-06,58.34874063724125,58.8285565470267,58.042275720977194,58.66758346557617,1779000,0.0,0.0,0.0,SOXX,SOXX,0.015050101885471845
2018-03-07,58.05774500067542,58.930702968126994,58.05774500067542,58.856407165527344,1167300,0.0,0.0,0.0,SOXX,SOXX,0.0032185354977500857
2018-03-08,59.2031146150732,59.23716626862808,58.58399589574193,58.909034729003906,1147200,0.0,0.0,0.0,SOXX,SOXX,0.0008941688086490096
2018-03-09,59.3826611022059,60.15655688369875,59.24335823193238,60.13179397583008,1586400,0.0,0.0,0.0,SOXX,SOXX,0.020756735404868998
2018-03-12,60.57445668830253,61.07903186068997,60.38252469581775,60.76947784423828,1860300,0.0,0.0,0.0,SOXX,SOXX,0.010604770392590002
2018-03-13,60.5744678420223,61.07904310731838,59.571495639469724,59.83152389526367,4230000,0.0,0.0,0.0,SOXX,SOXX,-0.015434622482337845
2018-03-14,60.16275680161105,60.16275680161105,59.277420740285876,59.82533645629883,1641000,0.0,0.0,0.0,SOXX,SOXX,-0.0001034143635665341
2018-03-15,59.98322213379101,60.168961717137606,59.46935797122013,59.7789192199707,1073100,0.0,0.0,0.0,SOXX,SOXX,-0.0007758792357487332
2018-03-16,59.86247496291383,60.11012528895963,59.68912044320557,59.754127502441406,1035000,0.0,0.0,0.0,SOXX,SOXX,-0.00041472341508996813
2018-03-19,59.215504845957305,59.49410707103725,57.78534226989558,58.61496353149414,2781600,0.0,0.0,0.0,SOXX,SOXX,-0.019064188844539975
